Year,Ceremony,Film,Award,Gender,Winner,Name,Race,Age at Win,Photo
1950,23,Cyrano de Bergerac,Actor,M,1,José Ferrer,Latinx,39,https://image.tmdb.org/t/p/w1280//4AeQKvJXTSFrjNtSKm2BFWVHdCr.jpg
1950,23,All about Eve,Actor in a Supporting Role,M,1,George Sanders,White,44,https://image.tmdb.org/t/p/w1280//6fvK8vUTgSMRvuw77PjjuIOMl6.jpg
1950,23,Born Yesterday,Actress,F,1,Judy Holliday,White,29,https://image.tmdb.org/t/p/w1280//pfKChERT9vEzyJrO5sWkJy1go36.jpg
1950,23,Harvey,Actress in a Supporting Role,F,1,Josephine Hull,White,74,https://image.tmdb.org/t/p/w1280//ez4bvdONR5WE2qhncCh9uOilIwo.jpg
1951,24,The African Queen,Actor,M,1,Humphrey Bogart,White,52,https://image.tmdb.org/t/p/w1280//pxJrZluJHhbWRo2QXAG99FvXUi7.jpg
1951,24,A Streetcar Named Desire,Actor in a Supporting Role,M,1,Karl Malden,White,40,https://image.tmdb.org/t/p/w1280//mszc66eJmCKzOD2vwl8qJrVSz1W.jpg
1951,24,A Streetcar Named Desire,Actress,F,1,Vivien Leigh,White,38,https://image.tmdb.org/t/p/w1280//wUy2GIFZjSpE01xUMy9wBy2xqjc.jpg
1951,24,A Streetcar Named Desire,Actress in a Supporting Role,F,1,Kim Hunter,White,29,https://image.tmdb.org/t/p/w1280//nB44EysedphcIWftSqyyG2qBYk8.jpg
1952,25,High Noon,Actor,M,1,Gary Cooper,White,51,https://image.tmdb.org/t/p/w1280//zVUK71x5IoBaJ5H9dTgE2CRmLKy.jpg
1952,25,Viva Zapata!,Actor in a Supporting Role,M,1,Anthony Quinn,Latinx,37,https://image.tmdb.org/t/p/w1280//9sKpm4KCoUbmMbR86fpqcgBCHrJ.jpg
1952,25,"Come Back, Little Sheba",Actress,F,1,Shirley Booth,White,54,https://image.tmdb.org/t/p/w1280//mM4K7Klt6kmPJqxYQGrP2NZdoPB.jpg
1952,25,The Bad and the Beautiful,Actress in a Supporting Role,F,1,Gloria Grahame,White,29,https://image.tmdb.org/t/p/w1280//f4Y0WcGs4UDwRVFD9XYoDg5pclS.jpg
1953,26,Stalag 17,Actor,M,1,William Holden,White,35,https://image.tmdb.org/t/p/w1280//6sa5f8p1KBhYxJDEmCLxn7QLcBe.jpg
1953,26,From Here to Eternity,Actor in a Supporting Role,M,1,Frank Sinatra,White,38,https://image.tmdb.org/t/p/w1280//vn9qWseEb2LspaS0LBDntH0L4Qw.jpg
1953,26,Roman Holiday,Actress,F,1,Audrey Hepburn,White,24,https://image.tmdb.org/t/p/w1280//sKXJWmSFnI46vIFs3SXRbXj9tu2.jpg
1953,26,From Here to Eternity,Actress in a Supporting Role,F,1,Donna Reed,White,33,https://image.tmdb.org/t/p/w1280//jGSZJKut5cOHqiKnz6cC0AMol7v.jpg
1954,27,On the Waterfront,Actor,M,1,Marlon Brando,White,30,https://image.tmdb.org/t/p/w1280//8IqKmUh8GugHVgutNxBJY9BWnsJ.jpg
1954,27,The Barefoot Contessa,Actor in a Supporting Role,M,1,Edmond O'Brien,White,39,https://image.tmdb.org/t/p/w1280//jyi6OW4ZFWudfyk0TgnBK4i3XSf.jpg
1954,27,The Country Girl,Actress,F,1,Grace Kelly,White,25,https://image.tmdb.org/t/p/w1280//2dNjXRNbhOmovybmr5iCdAhqdwl.jpg
1954,27,On the Waterfront,Actress in a Supporting Role,F,1,Eva Marie Saint,White,30,https://image.tmdb.org/t/p/w1280//9DpClOXbxSAsZiwsCnwIPA212pQ.jpg
1955,28,Marty,Actor,M,1,Ernest Borgnine,White,39,https://image.tmdb.org/t/p/w1280//kQhcGAc2TgohrvLZSYapT2SHRby.jpg
1955,28,Mister Roberts,Actor in a Supporting Role,M,1,Jack Lemmon,White,31,https://image.tmdb.org/t/p/w1280//chZmNRYMtqkiDlatprGDH4BzGqG.jpg
1955,28,The Rose Tattoo,Actress,F,1,Anna Magnani,White,48,https://image.tmdb.org/t/p/w1280//ygpE4VtT0TtrF2mfceJBT8u2Nhh.jpg
1955,28,East of Eden,Actress in a Supporting Role,F,1,Jo Van Fleet,White,41,https://image.tmdb.org/t/p/w1280//ten759vBLpScDUP4FUSMBwQMWeE.jpg
1956,29,The King and I,Actor,M,1,Yul Brynner,White,36,https://image.tmdb.org/t/p/w1280//bRA6b94H7Aak8PESLbtJ5LzHATU.jpg
1956,29,Lust for Life,Actor in a Supporting Role,M,1,Anthony Quinn,Latinx,41,https://image.tmdb.org/t/p/w1280//9sKpm4KCoUbmMbR86fpqcgBCHrJ.jpg
1956,29,Anastasia,Actress,F,1,Ingrid Bergman,White,41,https://image.tmdb.org/t/p/w1280//jXEE0P6705JbMAJ2nwtHjmqkd5F.jpg
1956,29,Written on the Wind,Actress in a Supporting Role,F,1,Dorothy Malone,White,32,https://image.tmdb.org/t/p/w1280//6xgsu7iZAHVir8hebZ1aYMmX8Xz.jpg
1957,30,The Bridge on the River Kwai,Actor,M,1,Alec Guinness,White,43,https://image.tmdb.org/t/p/w1280//nv3ppxgUQJytFGXZNde4f9ZlshB.jpg
1957,30,Sayonara,Actor in a Supporting Role,M,1,Red Buttons,White,39,https://image.tmdb.org/t/p/w1280//iog7plLpG4qvBlkq1aKSutkAys.jpg
1957,30,The Three Faces of Eve,Actress,F,1,Joanne Woodward,White,28,https://image.tmdb.org/t/p/w1280//8a500O203jN1IHFZVAPwVUyAHUZ.jpg
1957,30,Sayonara,Actress in a Supporting Role,F,1,Miyoshi Umeki,Asian,28,https://image.tmdb.org/t/p/w1280//a2ni0RXDzFq8wfkgzH0ZUDS5wKu.jpg
1958,31,Separate Tables,Actor,M,1,David Niven,White,49,https://image.tmdb.org/t/p/w1280//xslrziGA3B24iQ7BG9IO0ugycDo.jpg
