Year,Ceremony,Film,Award,Gender,Winner,Name,Race,Age at Win,Photo
2008,81,The Dark Knight,Actor in a Supporting Role,M,1,Heath Ledger,White,29,https://image.tmdb.org/t/p/w1280//5Y9HnYYa9jF4NunY9lSgJGjSe8E.jpg
2008,81,The Reader,Actress in a Leading Role,F,1,Kate Winslet,White,33,https://image.tmdb.org/t/p/w1280//e3tdop3WhseRnn8KwMVLAV25Ybv.jpg
2008,81,Vicky Cristina Barcelona,Actress in a Supporting Role,F,1,Penélope Cruz,Latinx,34,https://image.tmdb.org/t/p/w1280//dcPSUfxMa791NZvrFiBc3ReDdpU.jpg
2009,82,Crazy Heart,Actor in a Leading Role,M,1,Jeff Bridges,White,60,https://image.tmdb.org/t/p/w1280//xms1RAY6q7Lzp7wNeRCB0kzhucn.jpg
2009,82,Inglourious Basterds,Actor in a Supporting Role,M,1,Christoph Waltz,White,53,https://image.tmdb.org/t/p/w1280//2Hhztd4mUEV9Y25rfkXDwzL9QI9.jpg
2009,82,The Blind Side,Actress in a Leading Role,F,1,Sandra Bullock,White,45,https://image.tmdb.org/t/p/w1280//1Im0NV6nVaKyXMpYjGOfWaj5khS.jpg
2009,82,Precious: Based on the Novel 'Push' by Sapphire,Actress in a Supporting Role,F,1,Mo'Nique,Black,42,https://image.tmdb.org/t/p/w1280//2oXH2sx32C3w7t7HmorpPNGCUgG.jpg
2010,83,The King's Speech,Actor in a Leading Role,M,1,Colin Firth,White,50,https://image.tmdb.org/t/p/w1280//lKUq407IhFF6CQoJbUgbEyfS9JA.jpg
2010,83,The Fighter,Actor in a Supporting Role,M,1,Christian Bale,White,37,https://image.tmdb.org/t/p/w1280//2ocrTd8ChuUyJOzMuD4PsQw8eCB.jpg
2010,83,Black Swan,Actress in a Leading Role,F,1,Natalie Portman,White,29,https://image.tmdb.org/t/p/w1280//jJcRWku3e9OHrmRqytn6WcBjhvh.jpg
2010,83,The Fighter,Actress in a Supporting Role,F,1,Melissa Leo,White,50,https://image.tmdb.org/t/p/w1280//fcDdsUAyp7DZEi4UEzGXZEjXlUC.jpg
2011,84,The Artist,Actor in a Leading Role,M,1,Jean Dujardin,White,39,https://image.tmdb.org/t/p/w1280//fpNJxVL3I4atLSmWJqmVzDR4TWI.jpg
2011,84,Beginners,Actor in a Supporting Role,M,1,Christopher Plummer,White,82,https://image.tmdb.org/t/p/w1280//fauMGxa6dc86nHNenQ8X6DlE6YV.jpg
2011,84,The Iron Lady,Actress in a Leading Role,F,1,Meryl Streep,White,62,https://image.tmdb.org/t/p/w1280//xqL5IJxV0fDeD3OfkS3eWqwJoGV.jpg
2011,84,The Help,Actress in a Supporting Role,F,1,Octavia Spencer,Black,41,https://image.tmdb.org/t/p/w1280//4FEVru6fBFyJECqwqjHwlZdsL4c.jpg
2012,85,Lincoln,Actor in a Leading Role,M,1,Daniel Day-Lewis,White,55,https://image.tmdb.org/t/p/w1280//hknfCSSU6AMeKV9yn9NTtTzIEGc.jpg
2012,85,Django Unchained,Actor in a Supporting Role,M,1,Christoph Waltz,White,56,https://image.tmdb.org/t/p/w1280//2Hhztd4mUEV9Y25rfkXDwzL9QI9.jpg
2012,85,Silver Linings Playbook,Actress in a Leading Role,F,1,Jennifer Lawrence,White,22,https://image.tmdb.org/t/p/w1280//hLzgl1dS8O2IAn1PIwHYhxR0Lkm.jpg
2012,85,Les MisÌ©rables,Actress in a Supporting Role,F,1,Anne Hathaway,White,30,https://image.tmdb.org/t/p/w1280//xENM3XJAtdpolwELYDy9iaCtU4m.jpg
2013,86,Dallas Buyers Club,Actor in a Leading Role,M,1,Matthew McConaughey,White,44,https://image.tmdb.org/t/p/w1280//jdRmHrG0TWXGhs4tO6TJNSoL25T.jpg
2013,86,Dallas Buyers Club,Actor in a Supporting Role,M,1,Jared Leto,White,42,https://image.tmdb.org/t/p/w1280//msugySeTCyCmlRWtyB6sMixTQYY.jpg
2013,86,Blue Jasmine,Actress in a Leading Role,F,1,Cate Blanchett,White,44,https://image.tmdb.org/t/p/w1280//5HikVWKfkkUa8aLdCMHtREBECIn.jpg
2013,86,12 Years a Slave,Actress in a Supporting Role,F,1,Lupita Nyong'o,Black,31,https://image.tmdb.org/t/p/w1280//y3p0OMzIuAmcNt700RayK5A0k6t.jpg
2014,87,The Theory of Everything,Actor in a Leading Role,M,1,Eddie Redmayne,White,33,https://image.tmdb.org/t/p/w1280//bHipa1GkpedD32w2OIRg5axdkQ6.jpg
2014,87,Whiplash,Actor in a Supporting Role,M,1,J.K. Simmons,White,60,https://image.tmdb.org/t/p/w1280/jYYnhWbNoCSufoYkvs1GBZIyIX.jpg
2014,87,Still Alice,Actress in a Leading Role,F,1,Julianne Moore,White,54,https://image.tmdb.org/t/p/w1280/AkY8Dm85fDrG6Q6XSfK6e3USvox.jpg
2014,87,Boyhood,Actress in a Supporting Role,F,1,Patricia Arquette,White,46,https://image.tmdb.org/t/p/w1280/vBrrTputWCQgBpC0ZIhpbiaCxbx.jpg
2015,88,The Revenant,Actor in a Leading Role,M,1,Leonardo DiCaprio,White,41,https://image.tmdb.org/t/p/w1280/A85WIRIKVsD2DeUSc8wQ4fOKc4e.jpg
2015,88,Bridge of Spies,Actor in a Supporting Role,M,1,Mark Rylance,White,56,https://image.tmdb.org/t/p/w1280/5XrQYvdYqiGUepbgmRQfOltgBRJ.jpg
2015,88,Room,Actress in a Leading Role,F,1,Brie Larson,White,26,https://image.tmdb.org/t/p/w1280/p66rOUPo1ZFZ7XrAKZ6DjdsvCA2.jpg
2015,88,The Danish Girl,Actress in a Supporting Role,F,1,Alicia Vikander,White,27,https://image.tmdb.org/t/p/w1280/q5PMBDNAFdAgeFsLDI2pQ2Fr6a6.jpg
2016,89,Manchester by the Sea,Actor in a Leading Role,M,1,Casey Affleck,White,41,https://image.tmdb.org/t/p/w1280/kPNMpiZHsAzeQar4DiNsrekwHBU.jpg
2016,89,Moonlight,Actor in a Supporting Role,M,1,Mahershala Ali,Black,43,https://image.tmdb.org/t/p/w1280/waUvfhRSpVe4vk0hGVcsr0dhpK6.jpg
2016,89,La La Land,Actress in a Leading Role,F,1,Emma Stone,White,28,https://image.tmdb.org/t/p/w1280/8bg84LTWsumtZitp1vwHJRFFkcr.jpg
2016,89,Fences,Actress in a Supporting Role,F,1,Viola Davis,Black,51,https://image.tmdb.org/t/p/w1280/9nhqKVGA09DLeZqsvWVoNeTRlRQ.jpg
2017,90,Darkest Hour,Actor in a Leading Role,M,1,Gary Oldman,White,59,https://image.tmdb.org/t/p/w1280/tofLS5A6lBXNjeROGvgpfe2JwaT.jpg
2017,90,"Three Billboards Outside Ebbing, Missouri",Actor in a Supporting Role,M,1,Sam Rockwell,White,49,https://image.tmdb.org/t/p/w1280/mEH7nCaG75XNkoFbp3MIwCbIZb6.jpg
2017,90,"Three Billboards Outside Ebbing, Missouri",Actress in a Leading Role,F,1,Frances McDormand,White,60,https://image.tmdb.org/t/p/w1280/jodV4NuQAvxQWIHxqnop1jUX77N.jpg
2017,90,"I, Tonya",Actress in a Supporting Role,F,1,Allison Janney,White,58,https://image.tmdb.org/t/p/w1280/cDcB8mKP1GiIeoM3Qe7GIucs0iv.jpg
